# ENERGY SUPPLY CHARGE/DISCHARGE CYCLE EXAMPLE
#
# time [s], power [kW]
0, 15.000000
241, 15.000000
482, 15.000000
724, 15.000000
965, 15.000000
1206, 15.000000
1448, 15.000000
1689, 15.000000
1930, 15.000000
2172, 15.000000
2413, 15.000000
2654, 15.000000
2896, 15.000000
3137, 15.000000
3378, 15.000000
3620, 15.000000
3861, 15.000000
4102, 15.000000
4344, 15.000000
4585, 15.000000
4826, 15.000000
5068, 15.000000
5309, 15.000000
5550, 15.000000
5792, 15.000000
6033, 15.000000
6274, 15.000000
6516, 15.000000
6757, 15.000000
6998, 15.000000
7240, 15.000000
7481, 15.000000
7722, 15.000000
7964, 15.000000
8205, 15.000000
8446, 15.000000
8688, 15.000000
8929, 15.000000
9170, 15.000000
9412, 15.000000
9653, 15.000000
9894, 15.000000
10136, 15.000000
10377, 15.000000
10618, 15.000000
10860, 0.000000
11101, 0.000000
11343, 0.000000
11584, 0.000000
11825, 0.000000
12067, 0.000000
12308, 0.000000
12549, 0.000000
12791, 0.000000
13032, 0.000000
13273, 0.000000
13515, 0.000000
13756, 0.000000
13997, 0.000000
14239, 0.000000
14480, 0.000000
14721, 0.000000
14963, 0.000000
15204, 0.000000
15445, 0.000000
15687, 0.000000
15928, 0.000000
16169, 0.000000
16411, 0.000000
16652, 0.000000
16893, 0.000000
17135, 0.000000
17376, 0.000000
17617, 0.000000
17859, 0.000000
18100, 0.000000
18341, 0.000000
18583, 0.000000
18824, 0.000000
19065, 0.000000
19307, 0.000000
19548, 0.000000
19789, 0.000000
20031, 0.000000
20272, 0.000000
20513, 0.000000
20755, 0.000000
20996, 0.000000
21237, 0.000000
21479, 0.000000
21720, 0.000000
21962, 0.000000
22203, 0.000000
22444, 0.000000
22686, 0.000000
22927, 0.000000
23168, 0.000000
23410, 0.000000
23651, 0.000000
23892, 0.000000
24134, 0.000000
24375, 0.000000
24616, 0.000000
24858, 0.000000
25099, 0.000000
25340, 0.000000
25582, 0.000000
25823, 0.000000
26064, 0.000000
26306, 0.000000
26547, 0.000000
26788, 0.000000
27030, 0.000000
27271, 0.000000
27512, 0.000000
27754, 0.000000
27995, 0.000000
28236, 0.000000
28478, 0.000000
28719, 0.000000
28960, 0.000000
29202, 0.000000
29443, 0.000000
29684, 0.000000
29926, 0.000000
30167, 0.000000
30408, 0.000000
30650, 0.000000
30891, 0.000000
31132, 0.000000
31374, 0.000000
31615, 0.000000
31856, 0.000000
32098, 0.000000
32339, 0.000000
32581, 0.000000
32822, 0.000000
33063, 0.000000
33305, 0.000000
33546, 0.000000
33787, 0.000000
34029, 0.000000
34270, 0.000000
34511, 0.000000
34753, 0.000000
34994, 0.000000
35235, 0.000000
35477, 0.000000
35718, 0.000000
35959, 0.000000
36201, 0.000000
36442, 0.000000
36683, 0.000000
36925, 0.000000
37166, 0.000000
37407, 0.000000
37649, 0.000000
37890, 0.000000
38131, 0.000000
38373, 0.000000
38614, 0.000000
38855, 0.000000
39097, 0.000000
39338, 0.000000
39579, 0.000000
39821, 0.000000
40062, 0.000000
40303, 0.000000
40545, 0.000000
40786, 0.000000
41027, 0.000000
41269, 0.000000
41510, 0.000000
41751, 0.000000
41993, 0.000000
42234, 0.000000
42475, 0.000000
42717, 0.000000
42958, 0.000000
43200, 0.000000
