# ENERGY DEMAND GROUP 01
# Annual energy consumption of 2.84e+10 J.
#
# time [s], power [kW]
0, 0.065376
900, 0.061876
1800, 0.065758
2700, 0.066557
3600, 0.055786
4500, 0.052799
5400, 0.056111
6300, 0.056794
7200, 0.049153
8100, 0.046521
9000, 0.049440
9900, 0.050041
10800, 0.050513
11700, 0.047809
12600, 0.050808
13500, 0.051426
14400, 0.048225
15300, 0.045643
16200, 0.048507
17100, 0.049096
18000, 0.049760
18900, 0.047096
19800, 0.050051
20700, 0.050660
21600, 0.106383
22500, 0.100688
23400, 0.107005
24300, 0.108306
25200, 0.434201
26100, 0.410957
27000, 0.436737
27900, 0.442049
28800, 0.992330
29700, 0.939207
30600, 0.998125
31500, 1.010264
32400, 1.081982
33300, 1.024059
34200, 1.088301
35100, 1.101536
36000, 1.108827
36900, 1.049467
37800, 1.115302
38700, 1.128866
39600, 0.959938
40500, 0.908550
41400, 0.965544
42300, 0.977287
43200, 0.959731
44100, 0.908354
45000, 0.965337
45900, 0.977076
46800, 0.927068
47700, 0.877439
48600, 0.932483
49500, 0.943823
50400, 0.820300
51300, 0.776387
52200, 0.825091
53100, 0.835125
54000, 0.788231
54900, 0.746035
55800, 0.792835
56700, 0.802477
57600, 0.866729
58500, 0.820330
59400, 0.871791
60300, 0.882393
61200, 0.912810
62100, 0.863945
63000, 0.918142
63900, 0.929307
64800, 0.946001
65700, 0.895359
66600, 0.951526
67500, 0.963098
68400, 0.976970
69300, 0.924669
70200, 0.982675
71100, 0.994626
72000, 0.955164
72900, 0.904031
73800, 0.960742
74700, 0.972426
75600, 0.953256
76500, 0.902225
77400, 0.958824
78300, 0.970484
79200, 0.704642
80100, 0.666920
81000, 0.708757
81900, 0.717377
82800, 0.371236
83700, 0.351362
84600, 0.373404
85500, 0.377945
86400, 0.055599
87300, 0.052622
88200, 0.055923
89100, 0.056603
90000, 0.047443
90900, 0.044903
91800, 0.047720
92700, 0.048300
93600, 0.041802
94500, 0.039564
95400, 0.042046
96300, 0.042557
97200, 0.042958
98100, 0.040659
99000, 0.043209
99900, 0.043735
100800, 0.041013
101700, 0.038817
102600, 0.041252
103500, 0.041754
104400, 0.042318
105300, 0.040053
106200, 0.042566
107100, 0.043083
108000, 0.090473
108900, 0.085630
109800, 0.091002
110700, 0.092108
111600, 0.369265
112500, 0.349497
113400, 0.371421
114300, 0.375938
115200, 0.843923
116100, 0.798745
117000, 0.848852
117900, 0.859175
118800, 0.920167
119700, 0.870907
120600, 0.925541
121500, 0.936797
122400, 0.942997
123300, 0.892515
124200, 0.948505
125100, 0.960040
126000, 0.816376
126900, 0.772672
127800, 0.821143
128700, 0.831130
129600, 0.816200
130500, 0.772506
131400, 0.820967
132300, 0.830951
133200, 0.788422
134100, 0.746215
135000, 0.793026
135900, 0.802670
136800, 0.697621
137700, 0.660275
138600, 0.701695
139500, 0.710229
140400, 0.670348
141300, 0.634462
142200, 0.674263
143100, 0.682463
144000, 0.737106
144900, 0.697646
145800, 0.741411
146700, 0.750428
147600, 0.776296
148500, 0.734738
149400, 0.780830
150300, 0.790326
151200, 0.804523
152100, 0.761454
153000, 0.809222
