# ENERGY SUPPLY GROUP 01
# 29.0 m² of solar panels.
#
# time [s], power [kW]
0, 0.000000
900, 0.000000
1800, 0.000000
2700, 0.000000
3600, 0.000000
4500, 0.000000
5400, 0.000000
6300, 0.000000
7200, 0.000000
8100, 0.000000
9000, 0.000000
9900, 0.000000
10800, 0.000000
11700, 0.000000
12600, 0.000000
13500, 0.000000
14400, 0.000000
15300, 0.000000
16200, 0.000000
17100, 0.000000
18000, 0.000000
18900, 0.000000
19800, 0.000000
20700, 0.000000
21600, 0.000000
22500, 0.000000
23400, 0.000000
24300, 0.000000
25200, 0.000000
26100, 0.000000
27000, 0.000000
27900, 0.000000
28800, 0.083969
29700, 0.167939
30600, 0.278149
31500, 0.383110
32400, 0.503816
33300, 0.614026
34200, 0.724236
35100, 0.813453
36000, 0.907919
36900, 0.991888
37800, 1.065362
38700, 1.128339
39600, 1.175571
40500, 1.212308
41400, 1.228052
42300, 1.228052
43200, 1.222804
44100, 1.201812
45000, 1.165075
45900, 1.117842
46800, 1.054865
47700, 0.976144
48600, 0.892175
49500, 0.781965
50400, 0.677003
51300, 0.561545
52200, 0.446087
53100, 0.325381
54000, 0.220420
54900, 0.125954
55800, 0.000000
56700, 0.000000
57600, 0.000000
58500, 0.000000
59400, 0.000000
60300, 0.000000
61200, 0.000000
62100, 0.000000
63000, 0.000000
63900, 0.000000
64800, 0.000000
65700, 0.000000
66600, 0.000000
67500, 0.000000
68400, 0.000000
69300, 0.000000
70200, 0.000000
71100, 0.000000
72000, 0.000000
72900, 0.000000
73800, 0.000000
74700, 0.000000
75600, 0.000000
76500, 0.000000
77400, 0.000000
78300, 0.000000
79200, 0.000000
80100, 0.000000
81000, 0.000000
81900, 0.000000
82800, 0.000000
83700, 0.000000
84600, 0.000000
85500, 0.000000
86400, 0.000000
87300, 0.000000
88200, 0.000000
89100, 0.000000
90000, 0.000000
90900, 0.000000
91800, 0.000000
92700, 0.000000
93600, 0.000000
94500, 0.000000
95400, 0.000000
96300, 0.000000
97200, 0.000000
98100, 0.000000
99000, 0.000000
99900, 0.000000
100800, 0.000000
101700, 0.000000
102600, 0.000000
103500, 0.000000
104400, 0.000000
105300, 0.000000
106200, 0.000000
107100, 0.000000
108000, 0.000000
108900, 0.000000
109800, 0.000000
110700, 0.000000
111600, 0.000000
112500, 0.000000
113400, 0.000000
114300, 0.000000
115200, 0.083969
116100, 0.173187
117000, 0.278149
117900, 0.388358
118800, 0.509064
119700, 0.624522
120600, 0.734732
121500, 0.844942
122400, 0.939408
123300, 1.023377
124200, 1.096850
125100, 1.154579
126000, 1.196564
126900, 1.233300
127800, 1.249045
128700, 1.259541
129600, 1.249045
130500, 1.228052
131400, 1.186068
132300, 1.133587
133200, 1.065362
134100, 0.991888
135000, 0.902671
135900, 0.802957
136800, 0.697996
137700, 0.582538
138600, 0.461832
139500, 0.346374
140400, 0.236164
141300, 0.136450
142200, 0.000000
143100, 0.000000
144000, 0.000000
144900, 0.000000
145800, 0.000000
146700, 0.000000
147600, 0.000000
148500, 0.000000
149400, 0.000000
150300, 0.000000
151200, 0.000000
152100, 0.000000
153000, 0.000000
153900, 0.000000
154800, 0.000000
155700, 0.000000
156600, 0.000000
157500, 0.000000
158400, 0.000000
159300, 0.000000
160200, 0.000000
161100, 0.000000
162000, 0.000000
162900, 0.000000
163800, 0.000000
164700, 0.000000
165600, 0.000000
166500, 0.000000
167400, 0.000000
168300, 0.000000
169200, 0.000000
170100, 0.000000
171000, 0.000000
171900, 0.000000
172800, 0.000000
173700, 0.000000
174600, 0.000000
175500, 0.000000
176400, 0.000000
177300, 0.000000
